Model,Evaluation,Records,Accuracy,Precision,Recall,F1,Macro_F1,ROC_AUC,Fake_precision,Fake_recall,Fake_F1,Fake_support,Real_precision,Real_recall,Real_F1,Real_support
RoBERTa,ISOT_test,3911,0.9997443109179238,0.9997642621404997,0.9997208263539922,0.9997424774746806,0.9997424774746806,0.9999997366286358,1.0,0.9994416527079844,0.9997207483943032,1791,0.9995285242809995,1.0,0.9997642065550578,2120
RoBERTa,FakeNewsAMT_external,430,0.5488372093023256,0.5752459965271078,0.5684210526315789,0.5440633130014647,0.5440633130014647,0.6015241228070175,0.49295774647887325,0.7368421052631579,0.5907172995780591,190,0.6575342465753424,0.4,0.49740932642487046,240
