Model,Accuracy,Precision,Recall,F1
Naive Bayes,0.16103589841141963,0.15110790674590957,0.15248190088182434,0.1607622865621473
Logistic Regression,0.15529924557304786,0.13851990940891978,0.14429429589532738,0.15541774802480834
Random Forest,0.16318290125021329,0.1411373868574184,0.1512218894325974,0.1635697994726416
