Model,ISOT_test_Macro_F1,FakeNewsAMT_Macro_F1,Macro_F1_gap_percentage_points
Naive Bayes,0.95852796132523,0.5709699809127191,38.75579804125109
Logistic Regression,0.987630672306116,0.5508232420093848,43.68074302967312
Random Forest,0.9958794602524896,0.5406086232878253,45.527083696466434
RoBERTa,0.9997424774746806,0.5440633130014647,45.567916447321586
