Model,FakeNewsAMT_Macro_F1,ISOT_test_Macro_F1,Macro_F1_gap,Macro_F1_gap_percentage_points,Macro_F1_relative_change_percent
Logistic Regression,0.5508232420093848,0.9876306723061159,0.4368074302967311,43.68074302967311,44.22781132108691
Naive Bayes,0.5709699809127191,0.95852796132523,0.3875579804125109,38.75579804125109,40.43262127446816
Random Forest,0.5406086232878253,0.9958794602524897,0.4552708369646644,45.52708369646644,45.715456050196835
