Model,ISOT Macro-F1,External Macro-F1,Generalisation Gap (pp)
Naive Bayes,0.95852796132523,0.5709699809127191,38.75579804125109
Logistic Regression,0.9876306723061159,0.5508232420093848,43.68074302967311
Random Forest,0.9958794602524897,0.5406086232878253,45.52708369646644
RoBERTa,0.9997424774746806,0.5440633130014647,45.567916447321586
