Model,Evaluation,Training_seconds,Inference_seconds,Accuracy,Precision,Recall,F1,ROC_AUC
Naive Bayes,ISOT_test,0.29863400000613183,0.07135579996975139,0.9588340577857325,0.9586731612136085,0.9583890363768528,0.95852796132523,0.9900200688979488
Naive Bayes,WELFake_external,0.0,0.0,0.7977981593743129,0.8075652544676989,0.8059071354950285,0.7977656747630827,0.8757216613627201
Logistic Regression,ISOT_test,3.9652422000071965,0.03324590000556782,0.9877269240603426,0.988002321042359,0.9872928584220895,0.9876306723061159,0.9986365264477524
Logistic Regression,WELFake_external,0.0,0.0,0.8324276784872947,0.8494824116334392,0.8429985625267621,0.8322129242813076,0.9204832582254362
Random Forest,ISOT_test,85.45536309998715,1.7649976999964565,0.9959089746867809,0.9959229588716045,0.9958364937897033,0.9958794602524897,0.9996860613339233
Random Forest,WELFake_external,0.0,0.0,0.8327260734365676,0.8547855720141861,0.8446146043571059,0.8323096607798481,0.9604780153809478
