Model,Evaluation,Training_seconds,Inference_seconds,Accuracy,Precision,Recall,F1,ROC_AUC
Naive Bayes,WELFake_external,0.0,0.0,0.7977981593743129,0.8075652544676989,0.8059071354950285,0.7977656747630827,0.8757216613627201
Logistic Regression,WELFake_external,0.0,0.0,0.8324276784872947,0.8494824116334392,0.8429985625267621,0.8322129242813076,0.9204832582254362
Random Forest,WELFake_external,0.0,0.0,0.8327260734365676,0.8547855720141861,0.8446146043571059,0.8323096607798481,0.9604780153809478
