Model,association,rank,feature,importance_or_weight
Naive Bayes,fake_associated,24,the gop,-3.882563277245268
Naive Bayes,fake_associated,25,below featured,-3.852341186739263
Random Forest,real_associated,1,reuters,0.06883874777613246
Random Forest,real_associated,2,image,0.020471850634256165
Random Forest,real_associated,3,said,0.01999029063478235
Random Forest,real_associated,4,video,0.016118957241459585
Random Forest,real_associated,5,said on,0.014646570181933747
Random Forest,real_associated,6,via,0.014261195885790482
Random Forest,real_associated,7,featured image,0.012175740240831885
Random Forest,real_associated,8,washington reuters,0.010275745170989998
Random Forest,real_associated,9,featured,0.010019352804178283
Random Forest,real_associated,10,image via,0.009123388249291011
Random Forest,real_associated,11,watch,0.007784552931005595
Random Forest,real_associated,12,on,0.007746815689166004
Random Forest,real_associated,13,you,0.00722395416198114
Random Forest,real_associated,14,washington,0.00716496433333876
Random Forest,real_associated,15,just,0.006732501625522196
Random Forest,real_associated,16,this,0.005956560793380806
Random Forest,real_associated,17,is,0.005953642356730291
Random Forest,real_associated,18,getty,0.005902911696658314
Random Forest,real_associated,19,here,0.005611092727486635
Random Forest,real_associated,20,com,0.0055904741520929335
Random Forest,real_associated,21,said in,0.005534612888688958
Random Forest,real_associated,22,getty images,0.00545709469955915
Random Forest,real_associated,23,its,0.005362904742857698
Random Forest,real_associated,24,what,0.005229135062751048
Random Forest,real_associated,25,said the,0.005181166921299581
