Model,Dataset,Accuracy,Precision,Recall,Macro-F1,ROC-AUC
Naive Bayes,ISOT,0.9588340577857325,0.9586731612136085,0.9583890363768528,0.95852796132523,0.9900200688979488
Naive Bayes,FakeNewsAMT,0.5720930232558139,0.589058524173028,0.5859649122807018,0.5709699809127191,0.6158552631578946
Logistic Regression,ISOT,0.9877269240603426,0.988002321042359,0.9872928584220895,0.9876306723061159,0.9986365264477524
Logistic Regression,FakeNewsAMT,0.5604651162790698,0.6012187832956524,0.5854166666666667,0.5508232420093848,0.6852850877192984
Random Forest,ISOT,0.9959089746867809,0.9959229588716045,0.9958364937897033,0.9958794602524897,0.9996860613339233
Random Forest,FakeNewsAMT,0.5581395348837209,0.6179245283018868,0.5888157894736842,0.5406086232878253,0.6675877192982456
RoBERTa,ISOT,0.9997443109179238,0.9997642621404997,0.9997208263539922,0.9997424774746806,0.9999997366286358
RoBERTa,FakeNewsAMT,0.5488372093023256,0.5752459965271078,0.5684210526315789,0.5440633130014647,0.6015241228070175
