Model,ISOT Macro_F1,FakeNewsAMT Macro_F1,Generalisation Gap,Generalisation Gap percentage points,Relative Macro_F1 decrease percent
Naive Bayes,0.95852796132523,0.5709699809127191,0.3875579804125109,38.75579804125109,40.43262127446816
Logistic Regression,0.9876306723061159,0.5508232420093848,0.4368074302967311,43.68074302967311,44.22781132108691
Random Forest,0.9958794602524897,0.5406086232878253,0.4552708369646644,45.52708369646644,45.715456050196835
RoBERTa,0.9997424774746806,0.5440633130014647,0.4556791644732159,45.567916447321586,45.579654234983366
