Model,Evaluation,Records,Inference_seconds,Accuracy,Precision,Recall,F1,Macro_F1,ROC_AUC,Fake_precision,Fake_recall,Fake_F1,Fake_support,Real_precision,Real_recall,Real_F1,Real_support
Naive Bayes,ISOT_test,3911,0.06487519998336211,0.9588340577857325,0.9586731612136085,0.9583890363768528,0.95852796132523,0.95852796132523,0.9900200688979488,0.9568385650224215,0.9530988274706867,0.9549650349650349,1791,0.9605077574047954,0.9636792452830188,0.9620908876854251,2120
Naive Bayes,FakeNewsAMT_external,430,0.00783610000507906,0.5720930232558139,0.589058524173028,0.5859649122807018,0.5709699809127191,0.5709699809127191,0.6158552631578946,0.5114503816793893,0.7052631578947368,0.5929203539823009,190,0.6666666666666666,0.4666666666666667,0.5490196078431373,240
Logistic Regression,ISOT_test,3911,0.02913709997665137,0.9877269240603426,0.988002321042359,0.9872928584220895,0.9876306723061159,0.9876306723061159,0.9986365264477524,0.9909859154929578,0.9821328866554997,0.9865395401009535,1791,0.9850187265917603,0.9924528301886792,0.9887218045112782,2120
Logistic Regression,FakeNewsAMT_external,430,0.004196699999738485,0.5604651162790698,0.6012187832956524,0.5854166666666667,0.5508232420093848,0.5508232420093848,0.6852850877192984,0.5016501650165016,0.8,0.6166328600405679,190,0.7007874015748031,0.37083333333333335,0.48501362397820164,240
Random Forest,ISOT_test,3911,1.8742434000014327,0.9959089746867809,0.9959229588716045,0.9958364937897033,0.9958794602524897,0.9958794602524897,0.9996860613339233,0.9960871995528228,0.9949748743718593,0.9955307262569832,1791,0.9957587181903864,0.9966981132075472,0.9962281942479962,2120
Random Forest,FakeNewsAMT_external,430,0.44585919997189194,0.5581395348837209,0.6179245283018868,0.5888157894736842,0.5406086232878253,0.5406086232878253,0.6675877192982456,0.5,0.8526315789473684,0.6303501945525292,190,0.7358490566037735,0.325,0.4508670520231214,240
